"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AltStringArray"
"3D_CHARACTER_ATLAS_WIDTH_HIGH",2048,,,,,
"3D_CHARACTER_ATLAS_HEIGHT_HIGH",2048,,,,,
"3D_CHARACTER_ATLAS_WIDTH_VERY_HIGH",4096,,,,,
"3D_CHARACTER_ATLAS_HEIGHT_VERY_HIGH",2048,,,,,
"USE_3D_PARTICLES",,"TRUE",,,,
"USE_3D_PARTICLES_WITH_MEDIUM_GFX",,"TRUE",,,,
"USE_3D_ORTHO_PROJECTION",,"TRUE",,,,
"REQUIRED_ASSET_DOWNLOAD_RETRY_COUNT",4,,,,,
"OPTIONAL_ASSET_DOWNLOAD_RETRY_COUNT",4,,,,,
"BUILDER_MENU_GEAR_UP_PRIORITY",80,,,,,
"BUILDER_MENU_STORAGE_INCREASED_PRIORITY",900,,,,,
"BUILDER_MENU_TOWN_HALL_INCREASED_PRIORITY",300,,,,,
"BUILDER_MENU_GIGA_TESLA_PRIORITY",150,,,,,
"DEPLOY_ZONE_OFFSET_Y",50,,,,,
"DISABLE_SPECULAR_ON_LOWER_END_DEVICES",,"TRUE",,,,
"SHOW_BP_SEASON_ENDING_NOTIFICATION",,"TRUE",,,,
"BP_SEASON_ENDING_NOTIFICATION_HOURS_EARLIER",48,,,,,
"DISABLE_4F_DEBUG_CONSOLE",,"FALSE",,,,
"USE_COMMAND_FOR_NPC_ATTACKS",,"TRUE",,,,
"USE_OPTIMAL_BOUNDS_FOR_3D",,"TRUE",,,,
"USE_SELFHELP",,"TRUE",,,,
"BP_PREMIUM_PASS_SALE_HIDDEN_HOURS_EARLIER",24,,,,,
"SERVER_TRACKS_GC_SPEND",,"TRUE",,,,
"PRIVACY_POLICY_URL_KUNLUN",,,"https://coc.gameark.cn/privacy.html",,,
"TOS_URL_KUNLUN",,,"https://coc.gameark.cn/service.html",,,
"SKIP_MULTIPLE_END_TURNS_AT_END_OF_BATTLE",,"TRUE",,,,
"USE_NORMAL_MAPS",,"TRUE",,,,
"CLAN_GAMES_ENDING_SOON_NOTIFICATION_TIME",10800,,,,,
"CAN_BUY_GOLD_PASS_ON_PASS_SCREEN",,"TRUE",,,,
"CAN_BUY_GOLD_PASS_ON_SHOP_SCREEN",,"FALSE",,,,
"ENABLE_CLAN_RECRUITMENT_FEATURE",,"TRUE",,,,
"ALLOW_JOINING_CLAN_WHILE_IN_CLAN",,"TRUE",,,,
"DEFAULT_PARTICLE3D_SIZE",200,,,,,
"NUM_REJECTED_INVITES_FOR_RECRUITMENT_REMINDER",6,,,,,
"USE_UNIFIED_SHADER_FOR_OBJECTS",,"TRUE",,,,
"SHOW_WAR_SCENERIES",,"FALSE",,,,
"SHOW_BB_SCENERIES",,"FALSE",,,,
"NUM_DAYS_INACTIVE_SHOW_LEAVE_CLAN_PROMPT",30,,,,,
"KUNLUN_INDULGE_LIMIT_WEEKDAY_MINUTES",90,,,,,
"KUNLUN_INDULGE_LIMIT_WEEKEND_MINUTES",180,,,,,
"KUNLUN_NIGHTTIME_START_MINUTES",1320,,,,,
"KUNLUN_NIGHTTIME_END_MINUTES",480,,,,,
"CHINA_HOLIDAYS_INDEX_SINCE_EPOCH",,,,18525,,
,,,,18526,,
,,,,18527,,
,,,,18528,,
,,,,18529,,
,,,,18530,,
,,,,18531,,
"CHINA_FORCED_WORKDAYS_INDEX_SINCE_EPOCH",,,,18521,,
,,,,18534,,
"KUNLUN_CHILD_PROTECTION_TEST_INTERVAL",300,,,,,
"TENCENT_GUEST_PAYMENT_ALLOWED",,"FALSE",,,,
"TENCENT_PAYMENT_PRECHECK_REQUIRED",,"TRUE",,,,
"WARN_INVALID_SIGNATURE",,"FALSE",,,,
"ESPORTS_TAB_ENABLED",,"TRUE",,,,
"ESPORTS_TOURNAMENT_HUB_ENABLED",,"TRUE",,,,
"SELF_HELP_DELETION_ARTICLE",,,"articles/gdpr-request-deletion-of-your-personal-data.html",,,
"SELF_HELP_DELETION_ARTICLE_CN",,,"articles/gdpr-request-deletion-of-your-personal-data-1.html",,,
"TENCENT_TOS_URL",,,"https://game.qq.com/contract.shtml",,,
"TENCENT_PRIVACY_POLICY_URL",,,"https://game.qq.com/privacy_guide.shtml?ADTAG=gamepcbottom",,,
"TENCENT_CHILD_PRIVACY_GUIDE_URL",,,"https://game.qq.com/privacy_guide_children.shtml?ADTAG=gamepcbottom",,,
"USE_MULTITHREADED_LOADING",,"FALSE",,,,
"MULTITHREADED_LOADING_MEMORY_LIMIT",2000,,,,,
"PREFER_BUILD_PAGE_UNTIL_TOWN_HALL",4,,,,,
"RECOMMENDER_REMINDER_SHOWN_HOURS_LEFT",24,,,,,
"SPAWN_BUTTERFLIES",,"TRUE",,,,
"BUTTERFLY_SPEED",215,,,,,
"BUTTERFLY_IDLE_TIME_MIN",2,,,,,
"BUTTERFLY_IDLE_TIME_MAX",10,,,,,
"BUTTERFLY_SPAWN_TIME_MIN",30,,,,,
"BUTTERFLY_SPAWN_TIME_MAX",300,,,,,
"BUTTERFLY_LIFE_TIME_MIN",30,,,,,
"BUTTERFLY_LIFE_TIME_MAX",60,,,,,
"SWF_TEXTURE_LOAD_THROTTLE_LIMIT_HIGH",1100,,,,,
"SWF_TEXTURE_LOAD_THROTTLE_LIMIT_LOW",2000,,,,,
"ATTACK_BAR_MIN_PHONE",80,,,,,
"ATTACK_BAR_MAX_PHONE",150,,,,,
"ATTACK_BAR_MIN_TABLET",60,,,,,
"ATTACK_BAR_MAX_TABLET",135,,,,,
"REPORT_LAYOUT_BUTTON",,"FALSE"
"REPORT_LAYOUT_BUTTON_2",,"TRUE"
